place1,relation,place2,triplet,question,options,answer,option_sources
Greasby Frankby and Irby,far,Springfield,Greasby Frankby and Irby is far Springfield,Which city is far to Springfield?,"A. Thatto Heath
B. Greasby Frankby and Irby
C. Crompton",B. Greasby Frankby and Irby,"random,correct,hard"
Hillsborough,far,Ouseburn,Hillsborough is far Ouseburn,Which city is far to Ouseburn?,"A. St. Helens
B. Hemsworth
C. Hillsborough",C. Hillsborough,"random,hard,correct"
Whiteleas,far,Wigan West,Whiteleas is far Wigan West,Which city is far to Wigan West?,"A. Bramhall North
B. Newsome
C. Whiteleas",C. Whiteleas,"random,hard,correct"
Dukinfield,far,Moseley and Kings Heath,Dukinfield is far Moseley and Kings Heath,Which city is far to Moseley and Kings Heath?,"A. Dukinfield
B. Stainforth & Barnby Dun
C. Cleadon Park",A. Dukinfield,"correct,random,hard"
Abbey,far,Castle Eden,Abbey is far Castle Eden,Which city is far to Castle Eden?,"A. City of Salford
B. Abbey
C. Stalybridge North",B. Abbey,"random,correct,hard"
Kirkstall,far,Sheldon,Kirkstall is far Sheldon,Which city is far to Sheldon?,"A. Hyde Park and Woodhouse
B. Longsight
C. Kirkstall",C. Kirkstall,"random,hard,correct"
St. Oswald,far,Wyke,St. Oswald is far Wyke,Which city is far to Wyke?,"A. Birchills Leamore
B. St. Oswald
C. Pleck",B. St. Oswald,"hard,correct,random"
Davyhulme West,far,Weetslade,Davyhulme West is far Weetslade,Which city is far to Weetslade?,"A. Central
B. Chorlton Park
C. Davyhulme West",C. Davyhulme West,"hard,random,correct"
Millfield,far,Sedgley,Millfield is far Sedgley,Which city is far to Sedgley?,"A. Bilston East
B. Millfield
C. Gipton and Harehills",B. Millfield,"random,correct,hard"
Moreton West and Saughall Massie,far,St. Mary's,Moreton West and Saughall Massie is far St. Mary's,Which city is far to St. Mary's?,"A. Moreton West and Saughall Massie
B. Whickham North
C. Blakenall",A. Moreton West and Saughall Massie,"correct,random,hard"
Church,far,Hemsworth,Church is far Hemsworth,Which city is far to Hemsworth?,"A. Church
B. Spotland and Falinge
C. Northumberland",A. Church,"correct,hard,random"
Crompton,far,Wetherby,Crompton is far Wetherby,Which city is far to Wetherby?,"A. Crompton
B. Bushbury North
C. Aldridge Central and South",A. Crompton,"correct,random,hard"
Burmantofts and Richmond Hill,far,Wavertree,Burmantofts and Richmond Hill is far Wavertree,Which city is far to Wavertree?,"A. Bloxwich East
B. Burmantofts and Richmond Hill
C. Winton",B. Burmantofts and Richmond Hill,"random,correct,hard"
Henley,far,Ordsall,Henley is far Ordsall,Which city is far to Ordsall?,"A. Colne Valley
B. Henley
C. Houghton",B. Henley,"random,correct,hard"
Illingworth and Mixenden,far,Meriden West Midlands,Illingworth and Mixenden is far Meriden West Midlands,Which city is far to Meriden West Midlands?,"A. Boston Castle
B. Warbreck
C. Illingworth and Mixenden",C. Illingworth and Mixenden,"hard,random,correct"
Queensbury,far,Meriden West Midlands,Queensbury is far Meriden West Midlands,Which city is far to Meriden West Midlands?,"A. City of Salford
B. Illingworth and Mixenden
C. Queensbury",C. Queensbury,"random,hard,correct"
Burmantofts and Richmond Hill,far,Hale Barns,Burmantofts and Richmond Hill is far Hale Barns,Which city is far to Hale Barns?,"A. Blakenhall
B. Burmantofts and Richmond Hill
C. Page Moss",B. Burmantofts and Richmond Hill,"hard,correct,random"
Longbenton,far,Stocksbridge & Upper Don,Longbenton is far Stocksbridge & Upper Don,Which city is far to Stocksbridge & Upper Don?,"A. Longbenton
B. Netherton Woodside and St. Andrews
C. Westhoughton",A. Longbenton,"correct,hard,random"
Saddleworth West and Lees,far,Dinnington St. John's,Saddleworth West and Lees is far Dinnington St. John's,Which city is far to Dinnington St. John's?,"A. Saddleworth West and Lees
B. Hodge Hill
C. Alexandra",A. Saddleworth West and Lees,"correct,random,hard"
Kingshurst and Fordbridge,far,Smithills,Kingshurst and Fordbridge is far Smithills,Which city is far to Smithills?,"A. Ordsall
B. Kingshurst and Fordbridge
C. Bredbury and Woodley",B. Kingshurst and Fordbridge,"random,correct,hard"
Hale Barns,far,Pedmore and Stourbridge East,Hale Barns is far Pedmore and Stourbridge East,Which city is far to Pedmore and Stourbridge East?,"A. Hale Barns
B. Chorlton
C. Crookes & Crosspool",A. Hale Barns,"correct,hard,random"
Edgbaston,far,Wallsend,Edgbaston is far Wallsend,Which city is far to Wallsend?,"A. Wickersley
B. Edgbaston
C. Rumworth",B. Edgbaston,"hard,correct,random"
Kingshurst and Fordbridge,far,Miles Platting and Newton Heath,Kingshurst and Fordbridge is far Miles Platting and Newton Heath,Which city is far to Miles Platting and Newton Heath?,"A. Kingshurst and Fordbridge
B. Weoley
C. Droylsden East",A. Kingshurst and Fordbridge,"correct,hard,random"
Ashton St. Michael's,far,Edenthorpe,Ashton St. Michael's is far Edenthorpe,Which city is far to Edenthorpe?,"A. Ashton St. Michael's
B. Kirkburton
C. Westerhope",A. Ashton St. Michael's,"correct,random,hard"
High Fell,far,Southey,High Fell is far Southey,Which city is far to Southey?,"A. Bamford
B. Ashton upon Mersey
C. High Fell",C. High Fell,"random,hard,correct"
Beacon and Bents,far,Hyde Newton,Beacon and Bents is far Hyde Newton,Which city is far to Hyde Newton?,"A. Beacon and Bents
B. Crompton
C. Acocks Green",A. Beacon and Bents,"correct,hard,random"
Benton,far,Billesley,Benton is far Billesley,Which city is far to Billesley?,"A. Benton
B. Stechford and Yardley North
C. Ancoats and Clayton",A. Benton,"correct,random,hard"
St. Oswald,far,Warley,St. Oswald is far Warley,Which city is far to Warley?,"A. West Gosforth
B. Longbenton
C. St. Oswald",C. St. Oswald,"random,hard,correct"
Charlemont with Grove Vale,far,Offerton Park,Charlemont with Grove Vale is far Offerton Park,Which city is far to Offerton Park?,"A. South Heaton
B. Blundellsands
C. Charlemont with Grove Vale",C. Charlemont with Grove Vale,"hard,random,correct"
Coldhurst,far,Gornal,Coldhurst is far Gornal,Which city is far to Gornal?,"A. Saddleworth West and Lees
B. Coldhurst
C. Paddock",B. Coldhurst,"hard,correct,random"
Fazakerley,far,Silhill,Fazakerley is far Silhill,Which city is far to Silhill?,"A. Fazakerley
B. Castleton
C. Saddleworth North",A. Fazakerley,"correct,random,hard"
Westerhope,far,Edenthorpe,Westerhope is far Edenthorpe,Which city is far to Edenthorpe?,"A. Ashton St. Michael's
B. Westerhope
C. Bucklow-St. Martins",B. Westerhope,"hard,correct,random"
Bede,far,Richmond,Bede is far Richmond,Which city is far to Richmond?,"A. Bede
B. Edgbaston
C. Cambridge",A. Bede,"correct,random,hard"
Bede,far,Roby,Bede is far Roby,Which city is far to Roby?,"A. Graiseley
B. Baildon
C. Bede",C. Bede,"hard,random,correct"
Brownhills,far,Wharfedale,Brownhills is far Wharfedale,Which city is far to Wharfedale?,"A. Stechford and Yardley North
B. Belle Vale
C. Brownhills",C. Brownhills,"random,hard,correct"
Bolton and Undercliffe,far,Central,Bolton and Undercliffe is far Central,Which city is far to Central?,"A. Bolton and Undercliffe
B. Chopwell and Rowlands Gill
C. Kings Norton",A. Bolton and Undercliffe,"correct,random,hard"
Stechford and Yardley North,far,Wingfield,Stechford and Yardley North is far Wingfield,Which city is far to Wingfield?,"A. Stechford and Yardley North
B. Longsight
C. Birmingham",A. Stechford and Yardley North,"correct,hard,random"
Thatto Heath,far,Worth Valley,Thatto Heath is far Worth Valley,Which city is far to Worth Valley?,"A. Thatto Heath
B. Northenden
C. Longbenton",A. Thatto Heath,"correct,random,hard"
Walkden North,far,Finningley,Walkden North is far Finningley,Which city is far to Finningley?,"A. Armthorpe
B. Leigh West
C. Walkden North",C. Walkden North,"random,hard,correct"
Billinge and Seneley Green,far,Doxford,Billinge and Seneley Green is far Doxford,Which city is far to Doxford?,"A. Hemsworth
B. Billinge and Seneley Green
C. Crawcrook and Greenside",B. Billinge and Seneley Green,"hard,correct,random"
Ashbrow,far,Castle and Priory,Ashbrow is far Castle and Priory,Which city is far to Castle and Priory?,"A. Central Rochdale
B. Ashbrow
C. Park",B. Ashbrow,"hard,correct,random"
North Manor,far,Wednesfield South,North Manor is far Wednesfield South,Which city is far to Wednesfield South?,"A. Bromley Cross
B. Hyde Werneth
C. North Manor",C. North Manor,"random,hard,correct"
Medlock Vale,far,Saltwell,Medlock Vale is far Saltwell,Which city is far to Saltwell?,"A. Claughton
B. Heald Green
C. Medlock Vale",C. Medlock Vale,"hard,random,correct"
Newton,far,Sutton Vesey,Newton is far Sutton Vesey,Which city is far to Sutton Vesey?,"A. Rother Vale
B. Newton
C. Denton South",B. Newton,"hard,correct,random"
Church,far,Tettenhall Wightwick,Church is far Tettenhall Wightwick,Which city is far to Tettenhall Wightwick?,"A. Church
B. Beauchief & Greenhill
C. Baguley",A. Church,"correct,random,hard"
Streetly,far,Whitley Bay,Streetly is far Whitley Bay,Which city is far to Whitley Bay?,"A. Streetly
B. Golcar
C. Wakefield East",A. Streetly,"correct,hard,random"
Belle Vale,far,Bessacarr,Belle Vale is far Bessacarr,Which city is far to Bessacarr?,"A. Stainforth & Barnby Dun
B. Belle Vale
C. Pudsey",B. Belle Vale,"random,correct,hard"
Dukinfield Stalybridge,far,Tuebrook and Stoneycroft,Dukinfield Stalybridge is far Tuebrook and Stoneycroft,Which city is far to Tuebrook and Stoneycroft?,"A. West Middleton
B. Linacre
C. Dukinfield Stalybridge",C. Dukinfield Stalybridge,"random,hard,correct"
Shard End,far,Whiteleas,Shard End is far Whiteleas,Which city is far to Whiteleas?,"A. Shard End
B. Low Fell
C. Bournville",A. Shard End,"correct,hard,random"
Sudell,far,Wednesfield North,Sudell is far Wednesfield North,Which city is far to Wednesfield North?,"A. East Gosforth
B. Wednesfield North
C. Sudell",C. Sudell,"hard,random,correct"
Reddish South,far,Westwood,Reddish South is far Westwood,Which city is far to Westwood?,"A. Ovenden
B. Reddish South
C. Bowdon",B. Reddish South,"hard,correct,random"
Princes End,far,Sale Moor,Princes End is far Sale Moor,Which city is far to Sale Moor?,"A. Moston
B. Brierley Hill
C. Princes End",C. Princes End,"random,hard,correct"
Roundhay,far,Washington Central,Roundhay is far Washington Central,Which city is far to Washington Central?,"A. Hyde Newton
B. Roundhay
C. Lindley",B. Roundhay,"hard,correct,random"
Ecclesall,far,Winlaton and High Spen,Ecclesall is far Winlaton and High Spen,Which city is far to Winlaton and High Spen?,"A. Fellgate and Hedworth
B. Ecclesall
C. City",B. Ecclesall,"hard,correct,random"
Litherland,far,Bickenhill,Litherland is far Bickenhill,Which city is far to Bickenhill?,"A. Windy Nook and Whitehills
B. High Fell
C. Litherland",C. Litherland,"hard,random,correct"
Charlemont with Grove Vale,far,Pallion,Charlemont with Grove Vale is far Pallion,Which city is far to Pallion?,"A. St. James's
B. Charlemont with Grove Vale
C. Redvales",B. Charlemont with Grove Vale,"hard,correct,random"
Greenbank,far,Knottingley,Greenbank is far Knottingley,Which city is far to Knottingley?,"A. East Middleton
B. Mosborough
C. Greenbank",C. Greenbank,"hard,random,correct"
Haydock,far,Kenton,Haydock is far Kenton,Which city is far to Kenton?,"A. Cleadon Park
B. Haydock
C. Weaste and Seedley",B. Haydock,"hard,correct,random"
Killingworth,far,Walkden North,Killingworth is far Walkden North,Which city is far to Walkden North?,"A. Killingworth
B. Little Horton
C. Adwick le Street & Carcroft",A. Killingworth,"correct,hard,random"
Heatons South,far,Finningley,Heatons South is far Finningley,Which city is far to Finningley?,"A. Palfrey
B. Heatons South
C. Woolton",B. Heatons South,"hard,correct,random"
West Kirby and Thurstaston,far,Westgate,West Kirby and Thurstaston is far Westgate,Which city is far to Westgate?,"A. Kingstanding
B. Prescot South
C. West Kirby and Thurstaston",C. West Kirby and Thurstaston,"hard,random,correct"
Ettingshall,far,West Kirby and Thurstaston,Ettingshall is far West Kirby and Thurstaston,Which city is far to West Kirby and Thurstaston?,"A. Ettingshall
B. Manor Castle
C. Denton North East",A. Ettingshall,"correct,hard,random"
Boothstown and Ellenbrook,far,St. Anne's,Boothstown and Ellenbrook is far St. Anne's,Which city is far to St. Anne's?,"A. Boothstown and Ellenbrook
B. Parr
C. Rockingham",A. Boothstown and Ellenbrook,"correct,random,hard"
Blakenall,far,Kingstone,Blakenall is far Kingstone,Which city is far to Kingstone?,"A. Blakenall
B. Central
C. Lindley",A. Blakenall,"correct,hard,random"
Garforth and Swillington,far,Little Hulton,Garforth and Swillington is far Little Hulton,Which city is far to Little Hulton?,"A. Great Barr with Yew Tree
B. Garforth and Swillington
C. Rotherham West",B. Garforth and Swillington,"random,correct,hard"
Bradford Moor,far,Orrell,Bradford Moor is far Orrell,Which city is far to Orrell?,"A. Bradford Moor
B. Silhill
C. Cadishead",A. Bradford Moor,"correct,hard,random"
Rotherham East,far,West Park,Rotherham East is far West Park,Which city is far to West Park?,"A. Rotherham East
B. Everton
C. St. James'",A. Rotherham East,"correct,hard,random"
Pontefract North,far,Winton,Pontefract North is far Winton,Which city is far to Winton?,"A. Brooklands
B. Pontefract North
C. Brockmoor and Pensnett",B. Pontefract North,"random,correct,hard"
Whitley Bay,far,Doxey,Whitley Bay is far Doxey,Which city is far to Doxey?,"A. Royston
B. Tipton Green
C. Whitley Bay",C. Whitley Bay,"hard,random,correct"
Doxford,far,Mosborough,Doxford is far Mosborough,Which city is far to Mosborough?,"A. Medlock Vale
B. Sudell
C. Doxford",C. Doxford,"hard,random,correct"
Heald Green,far,Kirkdale,Heald Green is far Kirkdale,Which city is far to Kirkdale?,"A. Heatons North
B. Dukinfield Stalybridge
C. Heald Green",C. Heald Green,"hard,random,correct"
Darlaston South,far,Littleborough Lakeside,Darlaston South is far Littleborough Lakeside,Which city is far to Littleborough Lakeside?,"A. Darlaston South
B. Washington North
C. Birkdale",A. Darlaston South,"correct,hard,random"
Mossley Hill,far,Penistone,Mossley Hill is far Penistone,Which city is far to Penistone?,"A. Didsbury East
B. Mossley Hill
C. Old Swan",B. Mossley Hill,"random,correct,hard"
Benwell and Scotswood,far,Rossington,Benwell and Scotswood is far Rossington,Which city is far to Rossington?,"A. Hendon
B. St. Michael's
C. Benwell and Scotswood",C. Benwell and Scotswood,"hard,random,correct"
Old Swan,far,Paddock,Old Swan is far Paddock,Which city is far to Paddock?,"A. Liversedge and Gomersal
B. Leasowe and Moreton East
C. Old Swan",C. Old Swan,"random,hard,correct"
Northfield,far,Whickham North,Northfield is far Whickham North,Which city is far to Whickham North?,"A. Dearne South
B. Metropolitan Borough of Rotherham
C. Northfield",C. Northfield,"hard,random,correct"
Ecclesall,far,Newburn,Ecclesall is far Newburn,Which city is far to Newburn?,"A. Ecclesall
B. Kearsley
C. Bidston and St. James",A. Ecclesall,"correct,random,hard"
Calder,far,Finningley,Calder is far Finningley,Which city is far to Finningley?,"A. Calder
B. Leigh West
C. Stalybridge North",A. Calder,"correct,hard,random"
Chirton,far,Swinton South,Chirton is far Swinton South,Which city is far to Swinton South?,"A. Nether Edge & Sharrow
B. Stannington
C. Chirton",C. Chirton,"hard,random,correct"
Keppel,far,Prenton,Keppel is far Prenton,Which city is far to Prenton?,"A. Kirklees
B. Keppel
C. Chorlton",B. Keppel,"random,correct,hard"
Astley Mosley Common,far,Copt Hill,Astley Mosley Common is far Copt Hill,Which city is far to Copt Hill?,"A. Stanley and Outwood East
B. Stepping Hill
C. Astley Mosley Common",C. Astley Mosley Common,"random,hard,correct"
Hyde Newton,far,St. James's,Hyde Newton is far St. James's,Which city is far to St. James's?,"A. Friar Park
B. Hyde Newton
C. Billinge and Seneley Green",B. Hyde Newton,"random,correct,hard"
Milkstone and Deeplish,far,West Derby,Milkstone and Deeplish is far West Derby,Which city is far to West Derby?,"A. Milkstone and Deeplish
B. Acocks Green
C. Elton",A. Milkstone and Deeplish,"correct,random,hard"
Spotland and Falinge,far,Town,Spotland and Falinge is far Town,Which city is far to Town?,"A. Bickenhill
B. City
C. Spotland and Falinge",C. Spotland and Falinge,"random,hard,correct"
Gipton and Harehills,far,Sedgley,Gipton and Harehills is far Sedgley,Which city is far to Sedgley?,"A. Davyhulme East
B. Gipton and Harehills
C. Millfield",B. Gipton and Harehills,"random,correct,hard"
Leigh West,far,Whickham South and Sunniside,Leigh West is far Whickham South and Sunniside,Which city is far to Whickham South and Sunniside?,"A. Leigh West
B. Chadderton South
C. Dukinfield Stalybridge",A. Leigh West,"correct,random,hard"
Central,far,East Park,Central is far East Park,Which city is far to East Park?,"A. Maltby South Yorkshire
B. Dalton
C. Central",C. Central,"random,hard,correct"
Sowerby Bridge,far,Sutton Weaver (civil parish),Sowerby Bridge is far Sutton Weaver (civil parish),Which city is far to Sutton Weaver (civil parish)?,"A. Winton
B. Sowerby Bridge
C. Whalley Range",B. Sowerby Bridge,"hard,correct,random"
