place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Little Hulton,south,Newburn,borders,Hulton,close,Stretford,"Little Hulton borders Hulton, close to Stretford, and south of Newburn",Which city borders Hulton and is also close to Stretford and south of Newburn?,"A. Kirkdale
B. Heatons North
C. Little Hulton",C. Little Hulton,"random,partial,correct"
Kippax West Yorkshire,south,Deckham,borders,Castleford Central and Glasshoughton,close,Morley West Yorkshire,"Kippax West Yorkshire borders Castleford Central and Glasshoughton, close to Morley West Yorkshire, and south of Deckham",Which city borders Castleford Central and Glasshoughton and is also close to Morley West Yorkshire and south of Deckham?,"A. North East
B. Aldridge Central and South
C. Kippax West Yorkshire",C. Kippax West Yorkshire,"partial,random,correct"
Winstanley,south,Benwell and Scotswood,borders,Pemberton,close,Prescot,"Winstanley borders Pemberton, close to Prescot, and south of Benwell and Scotswood",Which city borders Pemberton and is also close to Prescot and south of Benwell and Scotswood?,"A. High Fell
B. Winstanley
C. Cambridge",B. Winstanley,"random,correct,partial"
Offerton Park,south,Church,borders,Manor,close,Withington,"Offerton Park borders Manor, close to Withington, and south of Church",Which city borders Manor and is also close to Withington and south of Church?,"A. Offerton Park
B. Stepping Hill
C. Eccleston St Helens",A. Offerton Park,"correct,partial,random"
Reddish North,south,Norden,borders,Heatons North,close,Royton North,"Reddish North borders Heatons North, close to Royton North, and south of Norden",Which city borders Heatons North and is also close to Royton North and south of Norden?,"A. Saltwell
B. Fallowfield
C. Reddish North",C. Reddish North,"random,partial,correct"
Hazel Grove,south,Droylsden East,borders,Offerton Park,close,Higher Blackley,"Hazel Grove borders Offerton Park, close to Higher Blackley, and south of Droylsden East",Which city borders Offerton Park and is also close to Higher Blackley and south of Droylsden East?,"A. Brooklands
B. Hoober
C. Hazel Grove",C. Hazel Grove,"partial,random,correct"
Preston,south,Monkseaton South,borders,Tynemouth,close,Saltwell,"Preston borders Tynemouth, close to Saltwell, and south of Monkseaton South",Which city borders Tynemouth and is also close to Saltwell and south of Monkseaton South?,"A. Preston
B. Millfield
C. Park",A. Preston,"correct,partial,random"
Weaste and Seedley,south,Doxford,borders,Barton,close,Woodhouse Park,"Weaste and Seedley borders Barton, close to Woodhouse Park, and south of Doxford",Which city borders Barton and is also close to Woodhouse Park and south of Doxford?,"A. Weaste and Seedley
B. Pedmore and Stourbridge East
C. Atherton",A. Weaste and Seedley,"correct,random,partial"
Heaton,south,Whickham South and Sunniside,borders,Shipley,close,Keighley,"Heaton borders Shipley, close to Keighley, and south of Whickham South and Sunniside",Which city borders Shipley and is also close to Keighley and south of Whickham South and Sunniside?,"A. Calder
B. Cudworth
C. Heaton",C. Heaton,"partial,random,correct"
Lamesley,south,Wallsend,borders,Washington South,close,Blakelaw and North Fenham,"Lamesley borders Washington South, close to Blakelaw and North Fenham, and south of Wallsend",Which city borders Washington South and is also close to Blakelaw and North Fenham and south of Wallsend?,"A. Lamesley
B. Higher Blackley
C. Washington South",A. Lamesley,"correct,random,partial"
Old Warley,south,Wakefield North,borders,Finstall,close,Sutton Four Oaks,"Old Warley borders Finstall, close to Sutton Four Oaks, and south of Wakefield North",Which city borders Finstall and is also close to Sutton Four Oaks and south of Wakefield North?,"A. Old Warley
B. Acocks Green
C. Camperdown",A. Old Warley,"correct,partial,random"
Balby South,south,East Gosforth,borders,Edlington & Warmsworth,close,Featherstone,"Balby South borders Edlington & Warmsworth, close to Featherstone, and south of East Gosforth",Which city borders Edlington & Warmsworth and is also close to Featherstone and south of East Gosforth?,"A. Balby South
B. East Middleton
C. Kingstone",A. Balby South,"correct,random,partial"
Dore & Totley,south,Denby Dale,borders,Beauchief & Greenhill,close,Old Town,"Dore & Totley borders Beauchief & Greenhill, close to Old Town, and south of Denby Dale",Which city borders Beauchief & Greenhill and is also close to Old Town and south of Denby Dale?,"A. City
B. Dore & Totley
C. Broughton",B. Dore & Totley,"partial,correct,random"
Church,south,Stockbridge,borders,Radcliffe East,close,Wardle and West Littleborough,"Church borders Radcliffe East, close to Wardle and West Littleborough, and south of Stockbridge",Which city borders Radcliffe East and is also close to Wardle and West Littleborough and south of Stockbridge?,"A. Redvales
B. Church
C. Bentley",B. Church,"partial,correct,random"
Kenton,south,Castle,borders,Wingrove,close,Riverside,"Kenton borders Wingrove, close to Riverside, and south of Castle",Which city borders Wingrove and is also close to Riverside and south of Castle?,"A. Wharfedale
B. Lemington
C. Kenton",C. Kenton,"random,partial,correct"
Litherland,south,Bridges,borders,Netherton and Orrell,close,Moss Bank,"Litherland borders Netherton and Orrell, close to Moss Bank, and south of Bridges",Which city borders Netherton and Orrell and is also close to Moss Bank and south of Bridges?,"A. Town
B. Denton South
C. Litherland",C. Litherland,"partial,random,correct"
Boston Castle,south,Horsforth,borders,Darnall,distant,Lindley,"Boston Castle borders Darnall, distant to Lindley, and south of Horsforth",Which city borders Darnall and is also distant to Lindley and south of Horsforth?,"A. Ancoats and Clayton
B. Fenham
C. Boston Castle",C. Boston Castle,"partial,random,correct"
Castle and Priory,south,Mossley,borders,St. James's,distant,Chelmsley Wood,"Castle and Priory borders St. James's, distant to Chelmsley Wood, and south of Mossley",Which city borders St. James's and is also distant to Chelmsley Wood and south of Mossley?,"A. Milkstone and Deeplish
B. Castle and Priory
C. Darlaston South",B. Castle and Priory,"random,correct,partial"
Shaw,south,Westoe,borders,Milnrow and Newhey,distant,Woodhouse,"Shaw borders Milnrow and Newhey, distant to Woodhouse, and south of Westoe",Which city borders Milnrow and Newhey and is also distant to Woodhouse and south of Westoe?,"A. Washington West
B. Sedgley
C. Shaw",C. Shaw,"random,partial,correct"
Cheylesmore,south,Killingbeck and Seacroft,borders,Wainbody,distant,Northfield,"Cheylesmore borders Wainbody, distant to Northfield, and south of Killingbeck and Seacroft",Which city borders Wainbody and is also distant to Northfield and south of Killingbeck and Seacroft?,"A. Cheylesmore
B. Holbrook
C. Parklands",A. Cheylesmore,"correct,partial,random"
Otley and Yeadon,south,St. Chad's,borders,Wharfedale,distant,Armthorpe,"Otley and Yeadon borders Wharfedale, distant to Armthorpe, and south of St. Chad's",Which city borders Wharfedale and is also distant to Armthorpe and south of St. Chad's?,"A. Otley and Yeadon
B. Wigan West
C. Brooklands",A. Otley and Yeadon,"correct,random,partial"
Roby,south,Felling,borders,St. Michaels,distant,Royton South,"Roby borders St. Michaels, distant to Royton South, and south of Felling",Which city borders St. Michaels and is also distant to Royton South and south of Felling?,"A. Roby
B. Perry Barr
C. Adel and Wharfedale",A. Roby,"correct,random,partial"
Silverwood,south,Blaydon,borders,Valley,distant,Horsforth,"Silverwood borders Valley, distant to Horsforth, and south of Blaydon",Which city borders Valley and is also distant to Horsforth and south of Blaydon?,"A. Silverwood
B. Old Warley
C. Birley",A. Silverwood,"correct,random,partial"
Wrenthorpe and Outwood West,south,Preston,borders,Stanley and Outwood East,distant,Finningley,"Wrenthorpe and Outwood West borders Stanley and Outwood East, distant to Finningley, and south of Preston",Which city borders Stanley and Outwood East and is also distant to Finningley and south of Preston?,"A. Wrenthorpe and Outwood West
B. Calverley and Farsley
C. Withington",A. Wrenthorpe and Outwood West,"correct,partial,random"
Liversedge and Gomersal,south,Washington Central,borders,Brighouse,distant,Tyldesley,"Liversedge and Gomersal borders Brighouse, distant to Tyldesley, and south of Washington Central",Which city borders Brighouse and is also distant to Tyldesley and south of Washington Central?,"A. Bryn
B. Royds
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"random,partial,correct"
Stanley and Outwood East,south,Tynemouth,borders,Wakefield North,distant,Wickersley,"Stanley and Outwood East borders Wakefield North, distant to Wickersley, and south of Tynemouth",Which city borders Wakefield North and is also distant to Wickersley and south of Tynemouth?,"A. Wakefield East
B. Balby South
C. Stanley and Outwood East",C. Stanley and Outwood East,"partial,random,correct"
Benwell and Scotswood,south,Castle,borders,Lemington,distant,Doxford,"Benwell and Scotswood borders Lemington, distant to Doxford, and south of Castle",Which city borders Lemington and is also distant to Doxford and south of Castle?,"A. Manor
B. Dunston and Teams
C. Benwell and Scotswood",C. Benwell and Scotswood,"partial,random,correct"
Millfield,south,Redhill,borders,Hendon,distant,Woolsington,"Millfield borders Hendon, distant to Woolsington, and south of Redhill",Which city borders Hendon and is also distant to Woolsington and south of Redhill?,"A. Denby Dale
B. St. Peter's
C. Millfield",C. Millfield,"random,partial,correct"
Conisbrough Parks,south,Wetherby,borders,Tickhill & Wadsworth,distant,Mossley,"Conisbrough Parks borders Tickhill & Wadsworth, distant to Mossley, and south of Wetherby",Which city borders Tickhill & Wadsworth and is also distant to Mossley and south of Wetherby?,"A. South Yardley
B. Conisbrough Parks
C. Old Town",B. Conisbrough Parks,"random,correct,partial"
Wallasey,south,Denton,borders,Leasowe and Moreton East,distant,Westhoughton,"Wallasey borders Leasowe and Moreton East, distant to Westhoughton, and south of Denton",Which city borders Leasowe and Moreton East and is also distant to Westhoughton and south of Denton?,"A. Wallasey
B. Roby
C. Pallion",A. Wallasey,"correct,partial,random"
Norden,south,West Park,borders,East,distant,Rastrick,"Norden borders East, distant to Rastrick, and south of West Park",Which city borders East and is also distant to Rastrick and south of West Park?,"A. Charlestown
B. Norden
C. Upper Gornal and Woodsetton",B. Norden,"random,correct,partial"
Birkdale,south,Preston,borders,Duke's,distant,Page Moss,"Birkdale borders Duke's, distant to Page Moss, and south of Preston",Which city borders Duke's and is also distant to Page Moss and south of Preston?,"A. St. Alphege
B. Birkdale
C. Heatons South",B. Birkdale,"random,correct,partial"
Edgeley and Cheadle Heath,south,Camperdown,borders,Davenport and Cale Green,distant,Ryburn,"Edgeley and Cheadle Heath borders Davenport and Cale Green, distant to Ryburn, and south of Camperdown",Which city borders Davenport and Cale Green and is also distant to Ryburn and south of Camperdown?,"A. Unsworth
B. Edlington & Warmsworth
C. Edgeley and Cheadle Heath",C. Edgeley and Cheadle Heath,"random,partial,correct"
Quarry Bank and Dudley Wood,south,Sandhill,borders,Cradley Heath and Old Hill,distant,Wainbody,"Quarry Bank and Dudley Wood borders Cradley Heath and Old Hill, distant to Wainbody, and south of Sandhill",Which city borders Cradley Heath and Old Hill and is also distant to Wainbody and south of Sandhill?,"A. Bentley and Darlaston North
B. Quarry Bank and Dudley Wood
C. Clubmoor",B. Quarry Bank and Dudley Wood,"partial,correct,random"
Warley,south,Southwick,borders,Ovenden,distant,Wales South Yorkshire,"Warley borders Ovenden, distant to Wales South Yorkshire, and south of Southwick",Which city borders Ovenden and is also distant to Wales South Yorkshire and south of Southwick?,"A. St. Anne's
B. Cross Gates and Whinmoor
C. Warley",C. Warley,"random,partial,correct"
Cradley Heath and Old Hill,south,Paddock,borders,Quarry Bank and Dudley Wood,distant,Castle Bromwich,"Cradley Heath and Old Hill borders Quarry Bank and Dudley Wood, distant to Castle Bromwich, and south of Paddock",Which city borders Quarry Bank and Dudley Wood and is also distant to Castle Bromwich and south of Paddock?,"A. Brierley Hill
B. Cradley Heath and Old Hill
C. Boothstown and Ellenbrook",B. Cradley Heath and Old Hill,"partial,correct,random"
Norton,south,Lobley Hill and Bensham,borders,Pedmore and Stourbridge East,distant,Sutton New Hall,"Norton borders Pedmore and Stourbridge East, distant to Sutton New Hall, and south of Lobley Hill and Bensham",Which city borders Pedmore and Stourbridge East and is also distant to Sutton New Hall and south of Lobley Hill and Bensham?,"A. Norton
B. Quarry Bank and Dudley Wood
C. Crompton",A. Norton,"correct,random,partial"
Yew Tree,south,Sudell,borders,Prescot,distant,Horwich,"Yew Tree borders Prescot, distant to Horwich, and south of Sudell",Which city borders Prescot and is also distant to Horwich and south of Sudell?,"A. Stechford and Yardley North
B. Yew Tree
C. Seacombe",B. Yew Tree,"random,correct,partial"
