place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Urmston,west,Roman Ridge,within,Trafford,"Urmston is west Roman Ridge, within Trafford",Which city lies west to Roman Ridge and within Trafford?,"A. Howdon
B. Bolton and Undercliffe
C. Urmston",C. Urmston,"random,partial,correct"
Urmston,south,West Heywood,borders,Davyhulme East,"Urmston is south West Heywood, borders Davyhulme East",Which city lies south to West Heywood and borders Davyhulme East?,"A. Upper Stoke
B. Rushall-Shelfield
C. Urmston",C. Urmston,"random,partial,correct"
Worth Valley,north,Anston and Woodsetts,within,Yorkshire and the Humber Euro Region,"Worth Valley is north Anston and Woodsetts, within Yorkshire and the Humber Euro Region",Which city lies north to Anston and Woodsetts and within Yorkshire and the Humber Euro Region?,"A. Ardsley and Robin Hood
B. Old Moat
C. Worth Valley",C. Worth Valley,"partial,random,correct"
Worth Valley,west,Airedale and Ferry Fryston,borders,Luddendenfoot,"Worth Valley is west Airedale and Ferry Fryston, borders Luddendenfoot",Which city lies west to Airedale and Ferry Fryston and borders Luddendenfoot?,"A. Worth Valley
B. Wardley and Leam Lane
C. Coldhurst",A. Worth Valley,"correct,random,partial"
Farnworth,west,Holme Valley,within,Metropolitan Borough of Bolton,"Farnworth is west Holme Valley, within Metropolitan Borough of Bolton",Which city lies west to Holme Valley and within Metropolitan Borough of Bolton?,"A. Bushbury North
B. Sharston
C. Farnworth",C. Farnworth,"random,partial,correct"
Farnworth,north,Sedgley,borders,Kearsley,"Farnworth is north Sedgley, borders Kearsley",Which city lies north to Sedgley and borders Kearsley?,"A. Holderness
B. Farnworth
C. Bramhall South and Woodford",B. Farnworth,"random,correct,partial"
Richmond,south,Birtley,within,Sheffield,"Richmond is south Birtley, within Sheffield",Which city lies south to Birtley and within Sheffield?,"A. Richmond
B. Sutton Vesey
C. Childwall",A. Richmond,"correct,partial,random"
Richmond,east,Bromley Cross,borders,Manor Castle,"Richmond is east Bromley Cross, borders Manor Castle",Which city lies east to Bromley Cross and borders Manor Castle?,"A. Richmond
B. Little Hulton
C. Wibsey",A. Richmond,"correct,random,partial"
Hindley Green,north,Bloxwich East,within,North West Euro Region,"Hindley Green is north Bloxwich East, within North West Euro Region",Which city lies north to Bloxwich East and within North West Euro Region?,"A. Hindley Green
B. Hipperholme and Lightcliffe
C. Copt Hill",A. Hindley Green,"correct,random,partial"
Hindley Green,west,Pilkington Park,borders,Atherleigh,"Hindley Green is west Pilkington Park, borders Atherleigh",Which city lies west to Pilkington Park and borders Atherleigh?,"A. Rumworth
B. Hindley Green
C. Stalybridge South",B. Hindley Green,"partial,correct,random"
City Centre,west,Longsight,within,Manchester,"City Centre is west Longsight, within Manchester",Which city lies west to Longsight and within Manchester?,"A. City Centre
B. Quarry Bank and Dudley Wood
C. Birkenhead and Tranmere",A. City Centre,"correct,random,partial"
City Centre,east,Swinton North,borders,Ardwick,"City Centre is east Swinton North, borders Ardwick",Which city lies east to Swinton North and borders Ardwick?,"A. Shipley
B. Beeston and Holbeck
C. City Centre",C. City Centre,"random,partial,correct"
Blundellsands,west,Todmorden,within,Metropolitan Borough of Sefton,"Blundellsands is west Todmorden, within Metropolitan Borough of Sefton",Which city lies west to Todmorden and within Metropolitan Borough of Sefton?,"A. Wigan West
B. Horwich
C. Blundellsands",C. Blundellsands,"random,partial,correct"
Blundellsands,north,Washwood Heath,borders,Manor,"Blundellsands is north Washwood Heath, borders Manor",Which city lies north to Washwood Heath and borders Manor?,"A. Keighley West
B. Blundellsands
C. Warbreck",B. Blundellsands,"partial,correct,random"
Sowerby Bridge,north,Hollinwood,within,Calderdale,"Sowerby Bridge is north Hollinwood, within Calderdale",Which city lies north to Hollinwood and within Calderdale?,"A. Lemington
B. Sowerby Bridge
C. Westhoughton",B. Sowerby Bridge,"partial,correct,random"
Sowerby Bridge,east,Croxteth,borders,Warley,"Sowerby Bridge is east Croxteth, borders Warley",Which city lies east to Croxteth and borders Warley?,"A. Ryton Crookhill and Stella
B. Sowerby Bridge
C. Gleadless Valley",B. Sowerby Bridge,"random,correct,partial"
Victoria,north,Aldridge Central and South,within,Metropolitan Borough of Sefton,"Victoria is north Aldridge Central and South, within Metropolitan Borough of Sefton",Which city lies north to Aldridge Central and South and within Metropolitan Borough of Sefton?,"A. Victoria
B. Brownhills
C. Fallowfield",A. Victoria,"correct,partial,random"
Victoria,west,Prescot,borders,Ford,"Victoria is west Prescot, borders Ford",Which city lies west to Prescot and borders Ford?,"A. Metropolitan Borough of Solihull
B. Victoria
C. New Brighton",B. Victoria,"random,correct,partial"
Bebington,west,Warley,within,North West Euro Region,"Bebington is west Warley, within North West Euro Region",Which city lies west to Warley and within North West Euro Region?,"A. Sale Moor
B. Wavertree
C. Bebington",C. Bebington,"random,partial,correct"
Bebington,east,West Kirby and Thurstaston,borders,Prenton,"Bebington is east West Kirby and Thurstaston, borders Prenton",Which city lies east to West Kirby and Thurstaston and borders Prenton?,"A. Wakefield Rural
B. Bebington
C. Parr",B. Bebington,"random,correct,partial"
Billesley,west,Lower Stoke,within,Birmingham,"Billesley is west Lower Stoke, within Birmingham",Which city lies west to Lower Stoke and within Birmingham?,"A. St. James's
B. Liverpool
C. Billesley",C. Billesley,"partial,random,correct"
Billesley,south,Batley East,borders,Hall Green,"Billesley is south Batley East, borders Hall Green",Which city lies south to Batley East and borders Hall Green?,"A. Dewsbury East
B. Billesley
C. Royston",B. Billesley,"random,correct,partial"
Offerton Park,north,Upper Stoke,borders,Marple North,"Offerton Park is north Upper Stoke, borders Marple North",Which city lies north to Upper Stoke and borders Marple North?,"A. Offerton Park
B. Ryhope
C. Featherstone",A. Offerton Park,"correct,partial,random"
Ryton Crookhill and Stella,north,East Middleton,within,Metropolitan Borough of Gateshead,"Ryton Crookhill and Stella is north East Middleton, within Metropolitan Borough of Gateshead",Which city lies north to East Middleton and within Metropolitan Borough of Gateshead?,"A. Ryton Crookhill and Stella
B. Washington South
C. Newsome",A. Ryton Crookhill and Stella,"correct,partial,random"
Ryton Crookhill and Stella,west,Monkseaton South,borders,Crawcrook and Greenside,"Ryton Crookhill and Stella is west Monkseaton South, borders Crawcrook and Greenside",Which city lies west to Monkseaton South and borders Crawcrook and Greenside?,"A. Tonge with the Haulgh
B. Newburn
C. Ryton Crookhill and Stella",C. Ryton Crookhill and Stella,"random,partial,correct"
Hellaby,south,Headingley,within,Metropolitan Borough of Rotherham,"Hellaby is south Headingley, within Metropolitan Borough of Rotherham",Which city lies south to Headingley and within Metropolitan Borough of Rotherham?,"A. Shard End
B. Hellaby
C. Brandwood",B. Hellaby,"random,correct,partial"
Hellaby,north,Wordsley,borders,Dinnington St. John's,"Hellaby is north Wordsley, borders Dinnington St. John's",Which city lies north to Wordsley and borders Dinnington St. John's?,"A. Killingbeck and Seacroft
B. Palfrey
C. Hellaby",C. Hellaby,"partial,random,correct"
Anston and Woodsetts,east,Harper Green,within,Yorkshire and the Humber Euro Region,"Anston and Woodsetts is east Harper Green, within Yorkshire and the Humber Euro Region",Which city lies east to Harper Green and within Yorkshire and the Humber Euro Region?,"A. Anston and Woodsetts
B. Skircoat
C. Charlemont with Grove Vale",A. Anston and Woodsetts,"correct,partial,random"
Anston and Woodsetts,south,Wakefield West,borders,Wales South Yorkshire,"Anston and Woodsetts is south Wakefield West, borders Wales South Yorkshire",Which city lies south to Wakefield West and borders Wales South Yorkshire?,"A. Anston and Woodsetts
B. Gornal
C. Cradley and Wollescote",A. Anston and Woodsetts,"correct,partial,random"
Douglas,west,Park & Arbourthorne,within,North West Euro Region,"Douglas is west Park & Arbourthorne, within North West Euro Region",Which city lies west to Park & Arbourthorne and within North West Euro Region?,"A. Douglas
B. Spotland and Falinge
C. Harton",A. Douglas,"correct,partial,random"
Douglas,north,Rushall-Shelfield,borders,Winstanley,"Douglas is north Rushall-Shelfield, borders Winstanley",Which city lies north to Rushall-Shelfield and borders Winstanley?,"A. Castle Bromwich
B. Southey
C. Douglas",C. Douglas,"random,partial,correct"
Langworthy,east,Wigan Central,within,North West Euro Region,"Langworthy is east Wigan Central, within North West Euro Region",Which city lies east to Wigan Central and within North West Euro Region?,"A. Langworthy
B. Sowerby Bridge
C. Stechford and Yardley North",A. Langworthy,"correct,partial,random"
Langworthy,north,Sparkbrook,borders,Weaste and Seedley,"Langworthy is north Sparkbrook, borders Weaste and Seedley",Which city lies north to Sparkbrook and borders Weaste and Seedley?,"A. Pilkington Park
B. Pelsall
C. Langworthy",C. Langworthy,"random,partial,correct"
Perry Barr,west,Longford,within,Birmingham,"Perry Barr is west Longford, within Birmingham",Which city lies west to Longford and within Birmingham?,"A. Ladywood
B. Perry Barr
C. Rainhill",B. Perry Barr,"partial,correct,random"
Perry Barr,south,Wallsend,borders,Great Barr with Yew Tree,"Perry Barr is south Wallsend, borders Great Barr with Yew Tree",Which city lies south to Wallsend and borders Great Barr with Yew Tree?,"A. Stockland Green
B. Perry Barr
C. Pleck",B. Perry Barr,"partial,correct,random"
Castleford Central and Glasshoughton,east,Wrenthorpe and Outwood West,within,City of Wakefield,"Castleford Central and Glasshoughton is east Wrenthorpe and Outwood West, within City of Wakefield",Which city lies east to Wrenthorpe and Outwood West and within City of Wakefield?,"A. Bentley
B. Fulwood
C. Castleford Central and Glasshoughton",C. Castleford Central and Glasshoughton,"partial,random,correct"
Castleford Central and Glasshoughton,north,Adwick le Street & Carcroft,borders,Pontefract North,"Castleford Central and Glasshoughton is north Adwick le Street & Carcroft, borders Pontefract North",Which city lies north to Adwick le Street & Carcroft and borders Pontefract North?,"A. Castleford Central and Glasshoughton
B. Sherbourne Warwickshire
C. Washington North",A. Castleford Central and Glasshoughton,"correct,random,partial"
St. Anne's,south,Preston,within,City of Sunderland,"St. Anne's is south Preston, within City of Sunderland",Which city lies south to Preston and within City of Sunderland?,"A. St. Anne's
B. Parklands
C. Moss Bank",A. St. Anne's,"correct,random,partial"
St. Anne's,north,Hillsborough,borders,Pallion,"St. Anne's is north Hillsborough, borders Pallion",Which city lies north to Hillsborough and borders Pallion?,"A. Pilkington Park
B. Wakefield East
C. St. Anne's",C. St. Anne's,"random,partial,correct"
Oldbury,south,City,within,West Midlands Euro Region,"Oldbury is south City, within West Midlands Euro Region",Which city lies south to City and within West Midlands Euro Region?,"A. Bushbury South and Low Hill
B. Swinton
C. Oldbury",C. Oldbury,"partial,random,correct"
Oldbury,west,Lyndon,borders,Tipton Green,"Oldbury is west Lyndon, borders Tipton Green",Which city lies west to Lyndon and borders Tipton Green?,"A. Hale Central
B. Oldbury
C. Newton",B. Oldbury,"random,correct,partial"
Whitley Bay,north,Earlsdon,within,North Tyneside,"Whitley Bay is north Earlsdon, within North Tyneside",Which city lies north to Earlsdon and within North Tyneside?,"A. Armley
B. Beeston and Holbeck
C. Whitley Bay",C. Whitley Bay,"partial,random,correct"
Whitley Bay,east,Valley,borders,Monkseaton North,"Whitley Bay is east Valley, borders Monkseaton North",Which city lies east to Valley and borders Monkseaton North?,"A. Whitley Bay
B. Wheatley Hills & Intake
C. West Kirby and Thurstaston",A. Whitley Bay,"correct,partial,random"
Whiteleas,east,Westerhope,within,South Tyneside,"Whiteleas is east Westerhope, within South Tyneside",Which city lies east to Westerhope and within South Tyneside?,"A. Newcastle upon Tyne
B. Dene
C. Whiteleas",C. Whiteleas,"random,partial,correct"
Whiteleas,north,St. James's,borders,Cleadon and East Boldon,"Whiteleas is north St. James's, borders Cleadon and East Boldon",Which city lies north to St. James's and borders Cleadon and East Boldon?,"A. Heald Green
B. Sutton Trinity
C. Whiteleas",C. Whiteleas,"partial,random,correct"
St. Gabriels,south,Cherryfield,within,Metropolitan Borough of Knowsley,"St. Gabriels is south Cherryfield, within Metropolitan Borough of Knowsley",Which city lies south to Cherryfield and within Metropolitan Borough of Knowsley?,"A. Davyhulme East
B. Roby
C. St. Gabriels",C. St. Gabriels,"random,partial,correct"
St. Gabriels,west,Didsbury East,borders,Halewood North,"St. Gabriels is west Didsbury East, borders Halewood North",Which city lies west to Didsbury East and borders Halewood North?,"A. St. Gabriels
B. Bold St Helens
C. Lozells and East Handsworth",A. St. Gabriels,"correct,partial,random"
St. Michael's,south,Graves Park,within,Liverpool,"St. Michael's is south Graves Park, within Liverpool",Which city lies south to Graves Park and within Liverpool?,"A. St. Michael's
B. Oldbury
C. Ford",A. St. Michael's,"correct,partial,random"
St. Michael's,north,Abbey,borders,Barnes,"St. Michael's is north Abbey, borders Barnes",Which city lies north to Abbey and borders Barnes?,"A. St. Michael's
B. Stainforth & Barnby Dun
C. Royton North",A. St. Michael's,"correct,partial,random"
Dore & Totley,east,St. James',within,Yorkshire and the Humber Euro Region,"Dore & Totley is east St. James', within Yorkshire and the Humber Euro Region",Which city lies east to St. James' and within Yorkshire and the Humber Euro Region?,"A. Dore & Totley
B. Mosborough
C. Chadderton North",A. Dore & Totley,"correct,partial,random"
Dore & Totley,north,Darlaston South,borders,Fulwood,"Dore & Totley is north Darlaston South, borders Fulwood",Which city lies north to Darlaston South and borders Fulwood?,"A. Dore & Totley
B. Temple Newsam
C. Silksworth",A. Dore & Totley,"correct,random,partial"
Wyke,east,Tottington,within,City of Bradford,"Wyke is east Tottington, within City of Bradford",Which city lies east to Tottington and within City of Bradford?,"A. Ecclesall
B. Wyke
C. Amblecote",B. Wyke,"partial,correct,random"
